id,judul,ringkasan,popularitas,dewasa,original_language,id_negara,negara,id_perusahaan,perusahaan,negara_asal_perusahaan,durasi,pendapatan,tanggal_rilis,jumlah_vote,vote_rata_rata,sertifikasi,id_imdb,tahun_rilis
726937,Setengah Sendok Teh,,0.6,False,id,ID,Indonesia,95385.0,Fourcolours Films,ID,18,0,2007-01-23,0,0.0,,,2007
655427,The Anniversaries,,0.6,False,id,ID,Indonesia,77167.0,Salto Films,,12,0,2006-01-02,0,0.0,,,2006
647058,Anda Puas Saya Loyo,,0.6,False,id,ID,Indonesia,65114.0,K2K Production,ID,86,0,2008-07-10,0,0.0,,,2008
600777,9808: Antologi 10 Tahun Reformasi Indonesia,,0.628,False,id,ID,Indonesia,,,,115,0,2008-05-13,0,0.0,,tt7720124,2008
537122,"Mereka Bilang, Saya Monyet!",,0.842,False,id,ID,Indonesia,106901.0,Intimasi Production,,92,0,2007-12-28,0,0.0,,tt1190132,2007
492035,Belahan Jiwa,,0.842,False,id,ID,Indonesia,16614.0,MVP Pictures,ID,118,0,2005-12-11,0,0.0,,tt0959434,2005
487984,D'Bijis,"Film ini bercerita tentang proses penyatuan kembali sebuah band bernama The Bandits yang beranggotakan Bonie(Darius Sinathrya) vokalis, Damon (Tora Sudiro) gitaris, Gendro(Indra Birowo) drummer, Bule (Gary Iskak), dan Soljah- keybordis, yang bubar pada akhir tahun 80-an. Pada tahun 2007, Asti(Rianti Cartwright), adik Bonie muncul dan punya keinginan untuk menyatukan The Bandits lagi.",0.842,False,id,ID,Indonesia,7872.0,Rapi Films,ID,97,0,2007-02-01,0,0.0,,tt0997438,2007
131702,3 Doa 3 Cinta,,0.842,False,id,ID,Indonesia,96133.0,IFI Sinema,,110,0,2008-10-01,0,0.0,,tt1619803,2008
884104,Oh Iboe,,0.627,False,id,ID,Indonesia,162513.0,Java Industrial Film,ID,0,0,1938-01-01,0,0.0,,,1938
884096,Rentjong Atjeh,,0.6,False,id,ID,Indonesia,162513.0,Java Industrial Film,ID,0,0,1940-01-01,0,0.0,,tt1852087,1940
806063,Big Village,,0.6,False,id,ID,Indonesia,79527.0,PT. PERFINI FILMS,ID,115,0,1969-01-01,0,0.0,,tt6753672,1969
794966,Pulang,,1.4,False,id,ID,Indonesia,148968.0,Produksi Film Negara,ID,74,0,1952-01-05,0,0.0,,,1952
632653,Embun,,0.6,False,id,ID,Indonesia,79527.0,PT. PERFINI FILMS,ID,120,0,1951-09-14,0,0.0,,tt1256569,1951
632651,Si Pintjang,,0.6,False,id,ID,Indonesia,115688.0,Perusahaan Film Negara,,67,0,1951-09-13,0,0.0,,tt9174102,1951
533072,Bajar Dengan Djiwa,,0.841,False,id,ID,Indonesia,106190.0,Union Film Coy,,0,0,1941-02-05,0,0.0,,tt1848793,1941
341474,Sri,,0.841,False,id,,,,,,102,0,1999-01-01,0,0.0,,tt0229741,1999
1014588,Curriculum Vitae,,0.809,False,id,,,172519.0,Mondiblanc Film Workshop,ID,12,0,2022-08-25,1,10.0,,,2022
1001275,Bootlegging My Way Into Hell,,1.015,False,id,,,106624.0,Kolong Sinema,ID,29,0,2022-08-12,0,0.0,,,2022
928608,Pelangi Tanpa Warna,,0.6,False,id,ID,Indonesia,72761.0,Falcon Pictures,ID,82,0,2022-02-17,1,6.5,,,2022
903944,Yowis Ben Finale,,0.676,False,id,ID,Indonesia,14140.0,Starvision Plus,ID,95,0,2021-12-16,0,0.0,13+,tt16288970,2021
895948,Salah Pencet,,0.6,False,id,ID,Indonesia,83704.0,PT Parkit Films,ID,80,0,1992-10-22,0,0.0,,,1992
874407,Oom Pasikom,,0.6,False,id,ID,Indonesia,160973.0,PT Sepakat Bahagia Film,,84,0,1990-07-03,0,0.0,,,1990
845394,I,,0.6,False,id,ID,Indonesia,104948.0,Umbara Brothers Films,,86,0,2021-07-16,1,2.0,,,2021
835380,Tutuge,,0.6,False,id,ID,Indonesia,155163.0,Sin3rgi,,140,0,2022-04-14,0,0.0,,tt19638356,2022
808858,Lenong Rumpi II,,1.376,False,id,ID,Indonesia,83704.0,PT Parkit Films,ID,89,0,1992-09-30,0,0.0,,,1992
807489,Jangan Sakiti Hatinya,,0.6,False,id,ID,Indonesia,151076.0,PT Bintang Mahkota Utama Film,,119,0,1980-09-10,0,0.0,,,1980
807209,Macan Kampus,,1.126,False,id,ID,Indonesia,96524.0,Karnos Film,,87,0,1987-06-03,0,0.0,,,1987
794141,Hantu Aborsi,,0.6,False,id,ID,Indonesia,72727.0,Indika Entertainment,,80,0,2008-08-21,0,0.0,,,2008
781043,Bibir-bibir Bergincu,,0.626,False,id,ID,Indonesia,78678.0,PT Virgo Putra Film,,100,0,1984-05-17,0,0.0,,,1984
733496,Cinta Dalam Misteri,,0.6,False,id,ID,Indonesia,,,,0,0,1996-01-01,0,0.0,,,1996
732803,Ajian Macan Putih,,0.876,False,id,ID,Indonesia,,,,0,0,1982-01-01,0,0.0,,,1982
731676,Warkop DKI Reborn 4,,0.958,False,id,ID,Indonesia,72761.0,Falcon Pictures,ID,103,0,2020-09-25,2,7.2,13+,tt10656230,2020
711933,Oma Irama Penasaran,,1.126,False,id,ID,Indonesia,135018.0,PT Sjam Studio Film Production,,100,0,1976-04-30,0,0.0,,,1976
675581,The Soul,,0.627,False,id,ID,Indonesia,14140.0,Starvision Plus,ID,97,0,2003-12-24,0,0.0,,,2003
669368,Buku Harianku,"Kila anak yang ceria, cerdas, kritis, tapi juga keras kepala. Dia senang mencurahkan isi hati dengan menulis di buku harian. Suatu ketika, oleh ibunya Kila dititipkan sementara sekaligus mengisi masa liburan ke rumah kakeknya, Prapto, di Desa Goalpara, Sukabumi. Di desa yang asri tersebut Kila bertemu kembali dengan kawan lamanya, Rintik, yang diproteksi oleh ibunya karena menyandang disabilitas. Kila menganggap Rintik sebagai teman baiknya. Keceriaan Kila semakin bertambah karena mendapatkan teman-teman baru yang sebaya di desa tersebut. Mereka menghabiskan waktu dengan bermain, bernyanyi riang, bahkan ikut latihan baris-berbaris dengan Kakek Prapto, pensiunan tentara. Berbekal rasa keingintahuannya terhadap berbagai masalah dan kepedulian terhadap sekelilingnya, Kila ikut membantu warga desa keluar dari jeratan perangkap seorang pengusaha properti.",1.173,False,id,ID,Indonesia,128741.0,Bro's Studio,,94,0,2020-03-12,1,6.5,SU,tt11127782,2020
656215,Aku Atau Dia,,0.629,False,id,ID,Indonesia,126534.0,One Star Productions,,97,0,2010-10-28,0,0.0,,,2010
640415,Hantu Binal Jembatan Semanggi,,0.6,False,id,ID,Indonesia,65114.0,K2K Production,ID,71,0,2009-11-19,1,5.0,,tt1556159,2009
588551,Akibat hamil muda,,0.84,False,id,ID,Indonesia,,,,93,0,1993-01-01,0,0.0,,tt1171495,1993
588405,Si Bongkok,,0.876,False,id,ID,Indonesia,107030.0,Rapi Film,,0,0,1972-01-01,0,0.0,,,1972
573023,Bebas Aturan Main,,0.6,False,id,ID,Indonesia,16514.0,Soraya Intercine Films,ID,85,0,1993-01-01,0,0.0,,,1993
558230,Pendakian Birahi,,0.6,False,id,,,,,,12,0,2017-03-04,0,0.0,,,2017
557913,Walet merah,,0.84,False,id,,,,,,0,0,1993-01-01,0,0.0,,tt0346127,1993
554114,Algojo: Perang Santet,"Sinopsis algojo film: perang sihir menceritakan kisah seorang pria bernama desta. Dia memiliki kemampuan yang tidak dimiliki orang lain. Dengan kemampuan itu, dia akan melindungi orang dari kejahatan yang tidak realistis. Algojo: perang santet adalah film drama yang disutradarai oleh rudi soedjarwo dan naskah yang ditulis oleh anggi septianto.",0.84,False,id,ID,Indonesia,90665.0,IFS,,92,0,2016-09-08,1,5.5,,tt5547924,2016
552860,17 Tahun ke Atas,"Bagas (Ajun Perwira) sangat ingin menjadi musisi. Setelah menginjak usia 17 tahun, Bagas memutuskan untuk fokus mengejar impian dan mencari jalan agar bisa menjadi musisi sukses. Bunda (Ranty Purnamasari) tidak menyetujui keputusan Bagas. Bunda juga tidak menyetujui hubungan Bagas dengan Mentari (Sonya Fatmala)",0.691,False,id,ID,Indonesia,64837.0,Mitra Pictures,,75,0,2014-05-14,2,2.0,,,2014
544196,Dr. Siti Pertiwi,,0.84,False,id,ID,Indonesia,,,,112,0,1980-08-01,0,0.0,,,1980
543046,Something In Between,,1.197,False,id,ID,Indonesia,46840.0,Legacy Pictures,,100,0,2018-09-27,2,7.0,13+,tt8914698,2018
533395,Hukuman Zinah,,0.84,False,id,,,,,,81,0,1996-01-01,0,0.0,,tt0336606,1996
531492,Rasuk,,0.84,False,id,ID,Indonesia,5344.0,MD Pictures,ID,89,0,2018-06-28,6,2.833,17+,tt8520966,2018
515157,Pengantin Pantai Biru,,0.84,False,id,ID,Indonesia,42831.0,Virgo Putra Film,,93,0,1983-04-14,0,0.0,R,,1983
514008,Lawang Sewu,,0.84,False,id,ID,Indonesia,5344.0,MD Pictures,ID,96,0,2007-09-13,1,5.0,17+,tt1102260,2007
501724,Laut Bercermin,,0.84,False,id,ID,Indonesia,123221.0,WWF-Indonesia,,100,0,2011-05-05,0,0.0,,tt1934427,2011
499933,Perempuan Bergairah,,0.84,False,id,ID,Indonesia,83704.0,PT Parkit Films,ID,93,0,1982-04-20,0,0.0,,tt7900676,1982
492453,Kakak,"Cerita film kakak mengikuti sepasang suami istri yang telah gagal tiga kali untuk memiliki anak akibat keguguran. Suatu ketika mereka berdua menemukan sosok arwah anak kecil di rumah baru yang mereka tempati. Meski awalnya sempat ketakutan oleh keberadaannya arwah anak kecil itu, namun mereka justru sering mendapatkan bantuan dan perolongan dari arwah ini. Karena itu, arwah hantu anak kecil ini dianggap keluarga dan dipanggil dengan sebutan “kakak” oleh pasangan ini.",0.84,False,id,ID,Indonesia,99230.0,Firefly Cinema,ID,88,0,2015-11-05,1,7.0,,tt7555334,2015
450803,Dendam Pocong,,0.84,False,id,ID,Indonesia,96465.0,Sinemart Pictures,,90,0,2006-10-26,1,6.0,,tt1185438,2006
420252,Nenek Grondong,,0.84,False,id,,,,,,84,0,1982-01-01,0,0.0,,,1982
420027,Siluman Teluk Gonggo,,0.84,False,id,,,,,,91,0,1988-01-01,0,0.0,,,1988
419898,Kutukan Nyai Roro Kidul,,0.84,False,id,ID,Indonesia,161373.0,PT Haka Film,,77,0,1979-01-01,0,0.0,,,1979
419870,Kuntilanak,,0.84,False,id,,,,,,100,0,1974-01-01,0,0.0,,,1974
419751,The Professionals,,0.84,False,id,ID,Indonesia,69003.0,MNC Pictures,ID,95,0,2016-12-22,2,8.0,,tt5732630,2016
419663,Pernikahan berdarah,,0.84,False,id,ID,Indonesia,125255.0,PT Garuda Film,,95,0,1987-01-01,0,0.0,,tt0227251,1987
419535,Nenek Lampir di Rumah Angker,,0.84,False,id,ID,Indonesia,,,,78,0,1988-01-01,0,0.0,,,1988
406837,Epen Cupen the Movie,"Celo seorang pemuda dari Papua, disuruh ayahnya untuk pergi mencari saudara kembarnya yang hilang sejak kecil. Celo berangkat dengan mengikuti petunjuk dari mimpi ayahnya yang melihat saudara kembarnya berada di medan perang.",0.84,False,id,ID,Indonesia,7872.0,Rapi Films,ID,95,0,2015-05-13,2,5.0,,tt5787348,2015
404273,Tarzan Raja Rimba,,0.84,False,id,ID,Indonesia,65106.0,PT Kanta Indah Film,ID,70,0,1989-01-01,2,9.0,,tt0949898,1989
