id,nama,negara_asal
146714,PT Multi Permai Film,
146825,Kalap Sinema,
146921,TGS Pictures,
146960,PT Akurama Film,
146961,PT Sandina Jaya Utama Film,
146968,Rumah Roemah Films,
147025,PT Kwartet Jaya Film,
147194,PT Atmochademas Persada,
147345,Penas Film Studio,
147346,Baby Huwae Film Prod,
147348,PT Agora Film,ID
147351,PT Japos Film,
147367,Bintang Surabaja Film,
147369,Ardjuna Film,
147370,Tan & Wong Bros,
147465,PT Sukma Putra Film,
147466,PT Sutra Jaya Film,
147467,Rita & Rina Film,
147521,Museum Purbakala Sangiran,
147621,Tjendrawasih Film Studio,
147641,Cinervo Pictures,
147642,Surya Citra Pictures,
147643,Random Pictures,
147651,PT Pratama Visual Production,
147652,Rumah Ciniru,
147653,Layar Mimpi,
147655,Sinemata Film & Television,
147661,PT Makna Cerita Media,
147663,PT Layar Cipta Karyamas Film,
147685,Jajasan Usaha Film Artis,
147686,DIAN,
147754,RCTI+ Original,
147841,Satu Layar,
147843,Sebs Sine Club,
147854,Javora Film,
147863,Mulih Films,
148316,Amarta Pictures,
148320,Dapoer 711,
148322,Djakarta Pictures,
148325,Dinas Kebudayaan dan Pariwisata Provinsi Kepulauan Riau,
148326,Golden Light Studios,
148332,Nusantara Films,
148333,PT 999 Pictures,
148336,Birde Production,
148393,PT Buntario Dinamika,
148394,Layar Kaca Komunikatama,
148440,PT Dara Mega Film,
148449,X-Code Films,
148511,PT Sapta Yanuar Film,
148571,PT Mega Multi Media,
148574,PT Jatayu Film & Video,
148575,Kementerian Kebudayaan dan Pariwisata,
148576,Broadcast Design Indonesia,
148590,Flix Pictures,
148598,PT Sugar Indah Film,
148708,SUB Production,
148709,Tit's Film Production,
148721,Nugrossinema,
148722,Griya Sembada Group,
148723,MM Audio Visual Production,
148743,Ganesa Perkasa Films,
148744,Anthony Pictures,
148759,Prasidi Grup,
148760,PT Putri Karang Setia Cinema Production,
148785,Inkara Films,
148809,Prominent Asia Pictures,
148810,Kunstler-Concept Indonesia,
148904,Klikfilm Production,ID
148905,Canary Studio,
148968,Produksi Film Negara,ID
148969,Corps Polisi Militer,
148971,Gabungan Artis Film,ID
148972,GAF Sang Saka,
148974,Canary Film Coy,
148975,Garuda Film,
148977,Ratu Asia Film Co,
148978,Raksi Seni,
148979,Diani Production,
148980,Pure Pictures,
148981,Turatea Production,
149034,Spin Production,
149804,Anom Pictures,
149806,Gema Masa Film,
149884,PT Pancaran Indra Cine Film,
150153,LUX (Unilever),
150157,Kremov Pictures,
150158,Kementerian Pendidikan dan Kebudayaan RI,ID
150198,Atlantic Studios,
150276,Genia Visinema,
150277,Komunitas Film Indie Pesawaran,
150311,Fixinema Pictures,
150365,IDN Pictures,ID
150410,MW Pictures,
150492,iPictures,
150600,Usaha Films,
150609,Anakayam Films,
150861,PT. Dentsu Inter Admark Media Group Indonesia,
150923,SFL Pictures,
150924,NEON BLASTER2 PRODUCTION,
150978,Java Pacific Film,
150984,BudFilm,
150985,GoodNews Film,
151076,PT Bintang Mahkota Utama Film,
151100,Lensadewa Sinema,
151101,Adglow Pictures,
151102,Double Tree Film,
151229,South Pacific Film,
151231,Konsorsium Film Mandarin,
151232,PT Cinerama Film,
151234,PT Surya Berlian Jaya Film,
151283,Canan Pictures,
151338,PT Angsa Gading Film,
151340,PT Remadja Ellynda Film,
151346,Renaria Animation,
151391,RK23 Pictures,ID
151439,Celebest Film Production,
151478,PT Dipa Jaya Film,
151694,Second Cinema,
151729,Introversy,
152224,PT Sri Agung Utama Film,
152225,PT Propelat Kodam VI Siliwangi,
152286,Kopernik,
152287,Akarumput,
152457,Percolate Galactic,
152620,Teladan Cinema,
152826,Verbind Films,
153126,Lam Horas Productions,
153127,Switzerland Embassy,
153128,Norwegian Embassy,
153143,Aenigma Pictures,
153348,Afici Entertainment,
153945,PT Drara Citra Sinema,
154038,Jegon Films,
154141,K-Pro Films,
154653,GP Ansor,
154926,Seroja Films,
154933,Kinoruku Productions,
154986,Think Tank Indonesia,
155048,Pedia Production,
155049,Lucion Films,
155051,Capo Dei Capi Films,
155163,Sin3rgi,
155291,Komite Penanganan COVID-19 dan Pemulihan Ekonomi Nasional (KPCPEN),ID
155292,Kominfo,ID
155336,Avikom,
155337,Uverennostfilm,
155498,liberte cinema,
155590,Gambar Gerak,
155652,Kathanika Entertainment,ID
155691,Dodid Wijanarko Production,
156898,Riuh Records,
156955,Bengsin Production,
157140,Layar Tanjap Films,
157577,Studio Rumah Kedua (ID),
157686,United States Information Service,
157937,Beyoutiful Pictures,
158023,#syair.org,
158024,Citkart Production,
158344,Paradisa Film,
158448,Sun Eater,
158461,Rentjana,
158489,Soda Machine Films,ID
158565,The Gecko Project,
158566,Mongabay,
158651,Rekata Studio,
160099,Jogja Film Academy,ID
160183,Prasasti Productions,
160229,Bikin Film Yok! Pictures,
160309,Perjamuan Sore,
160594,Bioskop Online,
160973,PT Sepakat Bahagia Film,
161021,Retorika Films,
161022,Relive Pictures,
161023,Saka FM,
161139,Pandapix Enterprise,ID
161172,Anthieves Production,
161353,VISUAL.IS.ME,
161358,Lanyah Films,
161360,Lotadoris Films,
161373,PT Haka Film,
161382,PT Budiana Film,
161385,Stichting Hiburan Mataram,
161412,Kusukabumiku Films,
161413,CINETHIRTEEN PICTURES,
161415,satu frekuensi,
161432,Universitas Dian Nuswantoro,
161491,Kelompok Kongsi Kecil,
161509,New Java Industrial Film,
161528,Orang Film,
161608,Action Film,ID
161714,Ideworks.id,
161805,Hore Pictures,
161806,Good Rush Pictures,
161963,Aurora Films,
162212,Senada Films,
162214,Pendulum Pictures,
162288,Kungkangku Films,ID
162289,Six Point Nine Production,
162380,Sinemaku Pictures,
162384,PT Ramayana Film,
162511,PT Rapi Film,
162513,Java Industrial Film,ID
162653,Fimtab SDN BHD,
162828,PT Sippang Jaya Film,
162980,Zuura Pictures,
163355,Bineka Sinema,
163357,Astana Production,
163360,Studio Amarana,
163361,ORRO,
163362,Visi8 Studio,
163373,Rich Music,
163496,CHENDOOLL IMAGINATION,
163804,D'Ayu Pictures,
163823,Institut Seni Budaya Indonesia Bandung,
163824,Holoscene,
163873,Kronologi Production,
163960,Bisokop Merdeka FIlm,
163990,Empat Sisi Film,ID
164765,Haladang Productions,
164870,Merpati Films,
164873,Seis.mo,
164874,hue colours,
165004,FOCUSED equipment,ID
165008,Prod House,
165065,Tumaritis Cinema,
165104,Out Of Box Production,
165149,Mawar Putih Pictures,
165150,Werewolf Pictures,
165236,Taman Wisata Candi,
165331,Imajinari,ID
165484,In-Docs,
165485,Inteamates,ID
165486,EngageMedia,
165552,Sineman Films,
165699,Cahaya Films,
165764,Inspire Production,ID
165964,Milisifilem,
166024,Daswati II Bandung,
166025,Maria Menado Prod,
166026,Bank Negara Indonesia,
166027,Djabar Film,
166028,Ifdil Film,
166035,Yayasan Ja Mualim Semarang,
166036,Pemda DKI Jaya,
166037,Sarinah,
166235,Krugers Filmbedrijf,
166236,Tan's Film,ID
166270,Halimoen Film,
166333,Lembaga Seni Drama & Film Raya (Lesfira),ID
166618,Tomcat Collective,
166665,SSFdR Project,
166681,First Design,
166730,PT Labana Films,
166801,Hafiz Motion Pictures Ltd,
166869,Comika,
166881,Garuda Film Studio,
166882,Panah Mas Film,
166979,CV Ina Film,
167911,Big Pictures,
168195,Yayasan Bagong Kussudiardja,
168254,Qia Film,
168400,Cino Motion Pictures,
168471,South Sea Film Co,
168682,Multi Enterprise,
168684,Telefilm Enterprise,
168860,Batavia Film Industrie,
168878,caterpillar studios,
169157,Algemeen Nederlandsch Indisch Filmsyndicaat (ANIF),
169227,Djawa Film,
169312,Oriental Film Coy,ID
169442,Star Film,ID
169487,Majestic Film Coy,
169775,Dowohouse Cinema,
169949,Agterplaas Production,
169989,Standard Film,ID
170042,Populer Film Coy,
170047,Kinowerk Carli,
170118,Jacatra Film Company,
170176,Shen Entertainment,
170177,Oxygen Entertainment,
170271,Denny Siregar Productions,
170276,Persafi,ID
170342,Helroad Films,
170345,Gardav,
170406,Metamaya Creative Works,
170626,Alifa TV,
170684,Lookout Pictures Indonesia,
171088,Skylar Comics,
171364,Cakrawala Fastindo Film,
171409,Fallisto,
171913,Sinematupang Films,
171914,Paguyuban YGD,
172519,Mondiblanc Film Workshop,ID
173294,Momenta Media,
173345,Promised Land Pictures,
173473,Besinema,
173474,Project 711 Production,
173476,Ganesha Creative Industry,
173507,Cita Barru Production,
173518,Opick Tombo Ati Film,
173520,L.A Indie Movie,
173656,Kalyana Shira Films,
173657,Blue Caterpillar Films,
173659,Damien Dematra Production,
173661,Quanta Pictures,
173678,Trimax Enterprises Inc.,
173688,Moestopo Productions,
173948,Bomb Creative Production,
173949,Exmat,
174121,Lynxfilms,
174128,PT Lintas Antariksa,
174129,SIF Institut Film,
174131,D'Color Films,
174162,State Film Studios of Indonesia,
174171,Komunitas Djuanda,
174202,Visi Lintas Film,ID
174204,Multi Media Vision,
174272,PT Safir Biru Film,
174519,PT Serayu Agung Jaya Film,
174571,Jaga Image Production,
174706,Synergy Pictures,
174723,Sinema Kelana,
174729,Raipro Production,
174810,PT Vidi Vici Multimedia,
174811,Yayasan Permata Hati Kita,
174815,Castle Production,ID
174817,Oneuser Group,
174856,Make Creative Studio,
174857,GJLS Entertainment,
174872,Empire Studio,ID
174873,Malka Pictures,
